Card 0 (Item 282):
	Name: KURIBOO
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 16
	Sort Value: 252
Card 12 (Item 292):
	Name: TOGENOKO
	Icon id: 136
	AnimPose Name: e_togenoko
	Animation Name: Z_1
	Name Message: ename_012 (Koopatrol)
	Description Message: ehelp_012
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 18
	Sort Value: 253
Card 13 (Item 293):
	Name: MD_TOGENOKO_BLK
	Icon id: 136
	AnimPose Name: e_togenoko
	Animation Name: Z_1
	Name Message: ename_296 (Dark Koopatrol)
	Description Message: ehelp_296
	Buy Price: 50
	Sell Price: 15
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 19
	Sort Value: 254
Card 14 (Item 296):
	Name: PATAPATA
	Icon id: 136
	AnimPose Name: e_nokoteki
	Animation Name: PTP_Z_1
	Name Message: ename_016 (Paratroopa)
	Description Message: ehelp_016
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 20
	Sort Value: 255
Card 15 (Item 297):
	Name: MD_PATAPATA_BLK
	Icon id: 136
	AnimPose Name: e_nokoteki_r
	Animation Name: PTP_Z_1
	Name Message: ename_297 (Dark Paratroopa)
	Description Message: ehelp_297
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 24
	Sort Value: 256
Card 16 (Item 298):
	Name: MET
	Icon id: 136
	AnimPose Name: e_met
	Animation Name: MET_Z_1
	Name Message: ename_022 (Buzzy Beetle)
	Description Message: ehelp_022
	Buy Price: 10
	Sell Price: 1
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 25
	Sort Value: 257
Card 17 (Item 299):
	Name: TOGE_MET
	Icon id: 136
	AnimPose Name: e_met
	Animation Name: TMT_Z_1
	Name Message: ename_024 (Spike Top)
	Description Message: ehelp_024
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 27
	Sort Value: 258
Card 18 (Item 300):
	Name: TOGE_MET_BLK
	Icon id: 136
	AnimPose Name: e_met
	Animation Name: TMT_Z_1
	Name Message: ename_298 (Dark Spike Top)
	Description Message: ehelp_298
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 29
	Sort Value: 259
Card 19 (Item 301):
	Name: PATA_MET
	Icon id: 136
	AnimPose Name: e_met
	Animation Name: PMT_Z_1
	Name Message: ename_028 (Parabuzzy)
	Description Message: ehelp_028
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 30
	Sort Value: 260
Card 20 (Item 302):
	Name: PATATOGE_MET
	Icon id: 136
	AnimPose Name: e_met
	Animation Name: PTM_Z_1
	Name Message: ename_029 (Spiky Parabuzzy)
	Description Message: ehelp_029
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 31
	Sort Value: 261
Card 21 (Item 303):
	Name: STONE_MET
	Icon id: 136
	AnimPose Name: e_stonemet
	Animation Name: Z_1
	Name Message: ename_030 (Stone Buzzy)
	Description Message: ehelp_030
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 51
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 32
	Sort Value: 262
Card 22 (Item 304):
	Name: STONE_MET_BLK
	Icon id: 136
	AnimPose Name: e_stonemet
	Animation Name: Z_1
	Name Message: ename_299 (Dark Stone Buzzy)
	Description Message: ehelp_299
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 33
	Sort Value: 263
Card 23 (Item 305):
	Name: TOGEZO
	Icon id: 136
	AnimPose Name: e_togezo
	Animation Name: TGZ_Z_1
	Name Message: ename_031 (Spiny)
	Description Message: ehelp_031
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 36
	Sort Value: 264
Card 24 (Item 306):
	Name: MD_TOGEZO_BLK
	Icon id: 136
	AnimPose Name: e_togezo
	Animation Name: TGZ_Z_1
	Name Message: ename_300 (Dark Spiny)
	Description Message: ehelp_300
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 38
	Sort Value: 265
Card 25 (Item 307):
	Name: JUGEMU
	Icon id: 136
	AnimPose Name: e_jugemu
	Animation Name: JGM_Z_1
	Name Message: ename_034 (Lakitu)
	Description Message: ehelp_034
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 34
	Sort Value: 266
Card 26 (Item 308):
	Name: HONENOKO
	Icon id: 136
	AnimPose Name: e_karon_g
	Animation Name: KRN_Z_1
	Name Message: ename_036 (Dull Bones)
	Description Message: ehelp_036
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 41
	Sort Value: 267
Card 27 (Item 309):
	Name: HONENOKO_BLK
	Icon id: 136
	AnimPose Name: e_karon_g
	Animation Name: KRN_Z_1
	Name Message: ename_301 (Dark Dull Bones)
	Description Message: ehelp_301
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 43
	Sort Value: 268
Card 28 (Item 310):
	Name: KARON
	Icon id: 136
	AnimPose Name: e_karon
	Animation Name: KRN_Z_1
	Name Message: ename_038 (Dry Bones)
	Description Message: ehelp_038
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 39
	Sort Value: 269
Card 29 (Item 311):
	Name: HAMMER_BROS
	Icon id: 137
	AnimPose Name: e_burosu_h
	Animation Name: BRO_Z_1
	Name Message: ename_040 (Hammer Bro)
	Description Message: ehelp_040
	Buy Price: 60
	Sell Price: 24
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 4
	Card Shop Chance: 8
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 45
	Sort Value: 270
Card 30 (Item 314):
	Name: MD_HAMMER_BROS_BLK
	Icon id: 136
	AnimPose Name: e_burosu_h
	Animation Name: BRO_Z_1
	Name Message: ename_302 (Dark Hammer Bro)
	Description Message: ehelp_302
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 49
	Sort Value: 271
Card 31 (Item 312):
	Name: BOOM_BROS
	Icon id: 137
	AnimPose Name: e_burosu_b
	Animation Name: BRO_Z_1
	Name Message: ename_042 (Boomerang Bro)
	Description Message: ehelp_042
	Buy Price: 70
	Sell Price: 28
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 4
	Card Shop Chance: 8
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 51
	Sort Value: 272
Card 32 (Item 315):
	Name: MD_BOOM_BROS_BLK
	Icon id: 136
	AnimPose Name: e_burosu_b
	Animation Name: BRO_Z_1
	Name Message: ename_303 (Dark Boomerang Bro)
	Description Message: ehelp_303
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 55
	Sort Value: 273
Card 33 (Item 313):
	Name: FIRE_BROS
	Icon id: 137
	AnimPose Name: e_burosu_f
	Animation Name: BRO_Z_1
	Name Message: ename_044 (Fire Bro)
	Description Message: ehelp_044
	Buy Price: 70
	Sell Price: 28
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 4
	Card Shop Chance: 8
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 57
	Sort Value: 274
Card 34 (Item 316):
	Name: MD_FIRE_BROS_BLK
	Icon id: 136
	AnimPose Name: e_burosu_f
	Animation Name: BRO_Z_1
	Name Message: ename_304 (Dark Fire Bro)
	Description Message: ehelp_304
	Buy Price: 40
	Sell Price: 12
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x3
	Tribe: 61
	Sort Value: 275
Card 35 (Item 317):
	Name: KAMEC_B
	Icon id: 137
	AnimPose Name: e_kamek
	Animation Name: KMK_Z_1
	Name Message: ename_052 (Magikoopa)
	Description Message: ehelp_052
	Buy Price: 60
	Sell Price: 24
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 63
	Sort Value: 276
Card 36 (Item 318):
	Name: KAMEC_R_BLK
	Icon id: 136
	AnimPose Name: e_kamek_r
	Animation Name: KMK_Z_1
	Name Message: ename_305 (Dark Magikoopa)
	Description Message: ehelp_305
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 66
	Sort Value: 277
Card 37 (Item 319):
	Name: KOURA_SHOOTER
	Icon id: 136
	AnimPose Name: e_k_shooter
	Animation Name: Z_1
	Name Message: ename_064 (Koopa Striker)
	Description Message: ehelp_064
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 69
	Sort Value: 278
Card 38 (Item 320):
	Name: KOURA_SHOOTER_M
	Icon id: 137
	AnimPose Name: e_k_shooter2
	Animation Name: Z_1
	Name Message: ename_066 (Toopa Striker)
	Description Message: ehelp_066
	Buy Price: 80
	Sell Price: 32
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 4
	Card Shop Chance: 8
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 71
	Sort Value: 279
Card 39 (Item 321):
	Name: KOURA_SHOOTER_H
	Icon id: 136
	AnimPose Name: e_k_shooter3
	Animation Name: Z_1
	Name Message: ename_068 (Soopa Striker)
	Description Message: ehelp_068
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 73
	Sort Value: 280
Card 40 (Item 322):
	Name: KOURA_SHOOTER_H_BLK
	Icon id: 136
	AnimPose Name: e_k_shooter3
	Animation Name: Z_1
	Name Message: ename_306 (Dark Striker)
	Description Message: ehelp_306
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 75
	Sort Value: 281
Card 41 (Item 323):
	Name: GABON
	Icon id: 136
	AnimPose Name: e_gabon
	Animation Name: gabon_Z_1
	Name Message: ename_070 (Clubba)
	Description Message: ehelp_070
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 94
	Sort Value: 282
Card 42 (Item 324):
	Name: GABON_BLK
	Icon id: 136
	AnimPose Name: e_gabon
	Animation Name: gabon_Z_1
	Name Message: ename_307 (Dark Clubba)
	Description Message: ehelp_307
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 95
	Sort Value: 283
Card 43 (Item 373):
	Name: OCTARO_R
	Icon id: 136
	AnimPose Name: e_octa2
	Animation Name: Z_1
	Name Message: ename_139 (Squiglet)
	Description Message: ehelp_139
	Buy Price: 10
	Sell Price: 1
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 125
	Sort Value: 284
Card 44 (Item 374):
	Name: OCTARO
	Icon id: 136
	AnimPose Name: e_octar
	Animation Name: Z_1
	Name Message: ename_140 (Squig)
	Description Message: ehelp_140
	Buy Price: 35
	Sell Price: 7
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 126
	Sort Value: 285
Card 45 (Item 375):
	Name: OCTARO_G
	Icon id: 136
	AnimPose Name: e_octa3
	Animation Name: Z_1
	Name Message: ename_142 (Squog)
	Description Message: ehelp_142
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 51
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 128
	Sort Value: 286
Card 46 (Item 377):
	Name: OCTARO_W
	Icon id: 136
	AnimPose Name: e_octa4
	Animation Name: Z_1
	Name Message: ename_144 (Squoinker)
	Description Message: ehelp_144
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 61
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 130
	Sort Value: 287
Card 47 (Item 376):
	Name: OCTARO_G_BLK
	Icon id: 136
	AnimPose Name: e_octa3
	Animation Name: Z_1
	Name Message: ename_322 (Dark Squiglet)
	Description Message: ehelp_322
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 132
	Sort Value: 288
Card 48 (Item 378):
	Name: TECKTIE
	Icon id: 136
	AnimPose Name: e_tekti
	Animation Name: Z_1
	Name Message: ename_146 (Sproing-Oing)
	Description Message: ehelp_146
	Buy Price: 15
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 134
	Sort Value: 289
Card 49 (Item 379):
	Name: TECKTIE_M
	Icon id: 136
	AnimPose Name: e_tekt2
	Animation Name: Z_1
	Name Message: ename_148 (Boing-Oing)
	Description Message: ehelp_148
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 41
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 136
	Sort Value: 290
Card 50 (Item 380):
	Name: TECKTIE_H
	Icon id: 136
	AnimPose Name: e_tekt3
	Animation Name: Z_1
	Name Message: ename_150 (Zoing-Oing)
	Description Message: ehelp_150
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 138
	Sort Value: 291
Card 51 (Item 381):
	Name: TECKTIE_H_BLK
	Icon id: 136
	AnimPose Name: e_tekt3
	Animation Name: Z_1
	Name Message: ename_323 (Dark Sproing-Oing)
	Description Message: ehelp_323
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
	Tribe: 140
	Sort Value: 292
Card 52 (Item 382):
	Name: BOROVOY
	Icon id: 136
	AnimPose Name: e_card_bolbo
	Animation Name: Z_1
	Name Message: ename_152 (Boomboxer)
	Description Message: ehelp_152
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 10
	Card Shop Chance: 5
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 142
	Sort Value: 293
Card 53 (Item 383):
	Name: BOROVOY_M
	Icon id: 136
	AnimPose Name: e_card_bolbr
	Animation Name: Z_1
	Name Message: ename_154 (Beepboxer)
	Description Message: ehelp_154
	Buy Price: 25
	Sell Price: 3
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 41
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 144
	Sort Value: 294
Card 54 (Item 385):
	Name: BOROVOY_W
	Icon id: 136
	AnimPose Name: e_card_bolbw
	Animation Name: Z_1
	Name Message: ename_158 (Blastboxer)
	Description Message: ehelp_158
	Buy Price: 20
	Sell Price: 2
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 81
	Card Shop Min GSW(0): 11
	Card Shop Block Duplicates: 0
	Disp Flags: 0x0
	Tribe: 146
	Sort Value: 295
Card 55 (Item 384):
	Name: BOROVOY_H_BLK
	Icon id: 136
	AnimPose Name: e_card_bolbg
	Animation Name: Z_1
	Name Message: ename_325 (Dark Boomboxer)
	Description Message: ehelp_325
	Buy Price: 30
	Sell Price: 6
	HP Gain: 0
	XP Gain: 0
	Card Bag Chance: 20
	Card Shop Chance: 10
	Card Shop Bonus Seq: 0
	Card Shop Min GSW(0): 225
	Card Shop Block Duplicates: 0
	Disp Flags: 0x2
